;UX;UY
0;0.0;0.0
1;0.0;0.0
2;0.0;0.0
3;0.0;0.0
4;0.0;0.0
5;0.0012705633178649752;-0.004616627827000076
6;-0.00025040989281863613;-0.0007234296656051378
7;-0.0002842688442142213;-0.0011032324651478829
8;0.000521870941911343;-0.0015087573520517184
9;0.0008324681513292799;-0.0011497996110526047
10;0.002110982703711849;0.0008959740022106899
11;0.0013719795954714776;-0.0004931844677451001
12;0.001764700345848408;-0.002639372722441911
13;0.0025884676746876613;-0.003453886055453598
14;0.006816426140223892;0.0050592983632627595
15;0.006077988281799649;-0.00019919681409785804
16;0.006357703440165259;-0.004198112417446753
17;0.006513337989906255;-0.005534561009354817
18;0.014810110773938064;0.008598751055730458
19;0.01392883660772678;-0.00017371693166883797
20;0.014582604391646502;-0.006440122284442228
21;0.0266799152445759;0.011577785931030779
22;0.02591246945578561;-0.0003117475602352722
23;0.02567999427502233;-0.005552868246858276
24;0.04158199378870727;0.013620424527534074
25;0.041773487914148824;-0.0014425275262530766
26;0.06132301156687599;0.015379370235509865
27;0.06079649947765336;0.005353054773987351
28;0.08397564248992101;0.0158306663119864
