i;j;k
0;1;5
1;6;5
5;6;10
6;11;10
10;11;14
11;15;14
14;15;18
15;19;18
18;19;21
19;22;21
21;22;24
22;25;24
24;25;27
24;27;26
26;27;28
1;2;6
2;7;6
6;7;11
7;12;11
11;12;15
12;16;15
15;16;19
16;20;19
19;20;23
19;23;22
22;23;25
2;3;7
3;8;7
7;8;12
8;13;12
12;13;17
12;17;16
16;17;20
3;4;9
3;9;8
8;9;13
